;cvm;codigo;ano;1;1.01.01;1.01.02;1.02.01.01;1.02.01.02;1.02.01.03;2.01.04;2.01.02;2.02.01;3.05;open;close;QtdAcoes;Volume;EBIT;ROIC;EV;DVIDALIQUIDA
0;1023;BBAS11;2010;802819794;9816675.0;14889970.0;52222158.0;75010625.0;;;;;16550866.0;;;2860729247;1.993.059;16550866.0;;;
1;1023;BBAS12;2010;802819794;9816675.0;14889970.0;52222158.0;75010625.0;;;;;16550866.0;;;2860729247;1.993.059;16550866.0;;;
2;1023;BBAS3;2010;802819794;9816675.0;14889970.0;52222158.0;75010625.0;;;;;16550866.0;29.9;31.42;2860729247;1.993.059;16550866.0;;85535804485.3;
3;1023;BBAS11;2011;966823068;10492143.0;23765789.0;68294472.0;84328189.0;;;;;17795255.0;;;2865416988;2.918.916;17795255.0;;;
4;1023;BBAS12;2011;966823068;10492143.0;23765789.0;68294472.0;84328189.0;;;;;17795255.0;;;2865416988;2.918.916;17795255.0;;;
5;1023;BBAS3;2011;966823068;10492143.0;23765789.0;68294472.0;84328189.0;;;;;17795255.0;31.4;23.7;2865416988;2.918.916;17795255.0;;89974093423.2;
6;1023;BBAS11;2012;1136007475;12690806.0;24734881.0;74955946.0;96704660.0;;;;;15269892.0;;;2865417020;3.779.106;15269892.0;;;
7;1023;BBAS12;2012;1136007475;12690806.0;24734881.0;74955946.0;96704660.0;;;;;15269892.0;;;2865417020;3.779.106;15269892.0;;;
8;1023;BBAS3;2012;1136007475;12690806.0;24734881.0;74955946.0;96704660.0;;;;;15269892.0;24.29;25.6;2865417020;3.779.106;15269892.0;;69600979415.8;
9;1023;BBAS11;2013;1162167882;11386337.0;37239341.0;18991047.0;90385074.0;;;;;12858994.0;;;2865417020;4.152.649;12858994.0;;;
10;1023;BBAS12;2013;1162167882;11386337.0;37239341.0;18991047.0;90385074.0;;;;;12858994.0;;;2865417020;4.152.649;12858994.0;;;
11;1023;BBAS3;2013;1162167882;11386337.0;37239341.0;18991047.0;90385074.0;;;;;12858994.0;25.6;24.4;2865417020;4.152.649;12858994.0;;73354675712.0;
12;1023;BBAS11;2014;1278136948;13337180.0;35592524.0;12441262.0;93803982.0;;;;;15604517.0;;;2865417020;5.168.957;15604517.0;;;
13;1023;BBAS12;2014;1278136948;13337180.0;35592524.0;12441262.0;93803982.0;;;;;15604517.0;;;2865417020;5.168.957;15604517.0;;;
14;1023;BBAS3;2014;1278136948;13337180.0;35592524.0;12441262.0;93803982.0;;;;;15604517.0;24.0;23.77;2865417020;5.168.957;15604517.0;;68770008480.0;
15;1023;BBAS11;2015;1388864529;18046717.0;46457253.0;11218150.0;102393823.0;;;;;10137504.0;;;2865417020;4.852.850;10137504.0;;;
16;1023;BBAS12;2015;1388864529;18046717.0;46457253.0;11218150.0;102393823.0;;;;;10137504.0;;;2865417020;4.852.850;10137504.0;;;
17;1023;BBAS3;2015;1388864529;18046717.0;46457253.0;11218150.0;102393823.0;;;;;10137504.0;22.65;14.74;2865417020;4.852.850;10137504.0;;64901695502.99999;
18;1023;BBAS11;2016;1387215686;12798204.0;32037173.0;7669398.0;104669675.0;;;;;10890427.0;;;2865417020;6.228.149;10890427.0;;;
19;1023;BBAS12;2016;1387215686;12798204.0;32037173.0;7669398.0;104669675.0;;;;;10890427.0;;;2865417020;6.228.149;10890427.0;;;
20;1023;BBAS3;2016;1387215686;12798204.0;32037173.0;7669398.0;104669675.0;;;;;10890427.0;14.24;28.09;2865417020;6.228.149;10890427.0;;40803538364.8;
21;1023;BBAS11;2017;1353075042;13471112.0;22121240.0;8453138.0;120214877.0;;;;;15930461.0;;;2865417020;4.988.445;15930461.0;;;
22;1023;BBAS12;2017;1353075042;13471112.0;22121240.0;8453138.0;120214877.0;;;;;15930461.0;;;2865417020;4.988.445;15930461.0;;;
23;1023;BBAS3;2017;1353075042;13471112.0;22121240.0;8453138.0;120214877.0;;;;;15930461.0;27.54;31.82;2865417020;4.988.445;15930461.0;;78913584730.8;
24;1023;BBAS11;2018;1396507474;13601194.0;24543232.0;6877619.0;;;;;;20414199.0;;;2865417020;6.893.313;20414199.0;;;
25;1023;BBAS12;2018;1396507474;13601194.0;24543232.0;6877619.0;;;;;;20414199.0;;;2865417020;6.893.313;20414199.0;;;
26;1023;BBAS3;2018;1396507474;13601194.0;24543232.0;6877619.0;;;;;;20414199.0;32.93;46.49;2865417020;6.893.313;20414199.0;;94358182468.6;
