CVM;Nome
23272;LOG COM PROP  
23280;OURO VERDE    
23302;QUALITY SOFT  
23310;CVC BRASIL    
23426;OMEGA GER     
23434;LIBRA T RIO   
23485;COSAN LOG     
23493;DOMMO         
23507;OUROFINO SA  
23574;IMC SA       
23590;WIZ S.A.      
23612;MAESTROLOC    
23710;BR HOME       
23817;BRQ           
23825;MOVIDA        
23965;CINESYSTEM    
24058;ALLIAR        
24090;IHPARDINI     
24112;AZUL          
24171;CARREFOUR BR  
24180;IRBBRASIL RE  
24201;STARA         
24236;PRINER        
24252;SMILES        
24260;SMART FIT     
24279;INTER SA      
24295;PETROBRAS BR  
24317;BK BRASIL     
24350;FLEX SA
24384;INTERMEDICA   
24392;HAPVIDA       
24406;BANCO INTER   
24546;PRATICA       
24660;BBMLOGISTICA  
24694;CENTAURO      
80020;GP INVEST     
80047;WILSON SONS   
80063;PATAGONIA     
80152;PPLA          
80179;BIOTOSCANA    
