;Volume;ano;cvm;empresa_descr
0;9.704;2010;20567;PINE
0;1.166.952;2010;20575;JBS
0;94.76700000000001;2010;20605;JHSF PART
0;6.1370000000000005;2010;20613;METALFRIO
0;54.333;2010;20621;FERTILIZANTES HERINGER S.A
0;11.2;2010;20630;CR2
0;19.579.401;2010;20702;VIVER
0;22.250999999999998;2010;20710;LOG-IN
0;82.22200000000001;2010;20745;SLC AGRICOLA
0;70.944;2010;20770;EZ TEC EMPREEND. E PARTICIPACOES S.A
0;656.578;2010;20788;MARFRIG
0;34.368;2010;20800;TEGMA
0;19.579.401;2010;20877;HELBOR
0;5.3020000000000005;2010;20885;INDUSVAL
0;1.275.972;2010;20915;MRV
0;19.579.401;2010;20931;MINERVA
0;80.74600000000001;2010;20958;ABC BRASIL
0;24.46;2010;20966;SPRINGS
0;176.183;2010;20982;MULTIPLAN
0;490.38800000000003;2010;20990;B2W - COMPANHIA DIGITAL
0;17.115;2010;21008;GENERAL SHOPPING E OUTLETS DO BRASIL S.A
0;7.4;2010;2100;CAMBUCI
0;39.611;2010;21016;ESTACIO PART
0;19.579.401;2010;21032;ALGAR TELECOM S
0;2.69;2010;21040;CYRELA COMMERCIAL PROPERT S.A. EMPR PART
0;19.579.401;2010;21091;DURATEX S.A
0;116.366;2010;21121;SUL AMERICA S.A
0;7.9639999999999995;2010;21130;TRISUL
0;24.543000000000003;2010;21148;TENDA
0;19.579.401;2010;21156;J. MACEDO S.A
0;175.725;2010;21180;BRASIL BROKERS PARTICIPACOES S.A
0;19.579.401;2010;21199;BCO PAN S.A
0;19.579.401;2010;21237;ENEVA S.A
0;41.619;2010;21300;ALIANSCE
0;16.71;2010;21342;OSX BRASIL
0;4.515;2010;21350;DIRECIONAL
0;19.579.401;2010;21393;CELGPAR
0;19.579.401;2010;21431;HYPERA
0;10.095;2010;21440;RESTOQUE COM
0;19.579.401;2010;21555;UNIDAS S.A
0;3.010.525;2010;21610;B3 S.A. - BRASIL
0;2.32;2010;21636;RENOVA ENERGIA S.A
0;2.002;2010;21717;TARPON INV
0;1.208.051;2010;21733;CIELO
0;40.49;2010;21881;FLEURY
0;19.579.401;2010;21903;ECORODOVIAS CONCES
0;15.509;2010;22020;JSL
0;44.79;2010;22055;MARISA LOJAS S.A
0;19.579.401;2010;22187;PETRO RIO S.A
0;19.579.401;2010;22217;ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A
0;240;2010;2429;CELULOSE IRANI S.A
0;1.179.311;2010;2437;ELETROBRAS
0;902.685;2010;2453;CIA ENERGETICA DE MINAS GERAIS - CEMIG
0;17.963;2010;2461;CENTRAIS ELET DE SANTA CATARINA S.A
0;43.278999999999996;2010;3069;FERBASA
0;19.579.401;2010;3077;CEDRO
0;251;2010;3115;CIA SEGUROS ALIANCA DA BAHIA
0;10.498;2010;3158;COTEMINAS
0;19.579.401;2010;3190;REDE ENERGIA
0;2.198;2010;3298;HABITASUL
0;19.579.401;2010;3395;CIA INDUSTRIAL CATAGUASES
0;19.579.401;2010;3654;CIA MELHORAMENTOS DE SAO PAULO
0;2.233.066;2010;3980;GERDAU S.A
0;1.339.568;2010;4030;CIA SIDERURGICA NACIONAL
0;1.916;2010;4081;SANTANENSE
0;3.466;2010;4146;KARSTEN
0;19.579.401;2010;4170;VALE S.A
0;673;2010;4359;ELEKEIROZ S.A
0;19.579.401;2010;4537;GRAZZIOTIN
0;12.093;2010;4669;GUARARAPES CONFECCOES S.A
0;19.579.401;2010;4707;CONSORCIO ALFA DE ADMINISTRACAO S.A
0;19.579.401;2010;4723;CONSTRUTORA ADOLPHO LINDENBERG S.A
0;19.579.401;2010;4820;BRASKEM
0;19.579.401;2010;4863;CORREA RIBEIRO S.A. COMERCIO E INDUSTRIA
0;19.579.401;2010;5207;DOHLER
0;58.705;2010;5312;MUNDIAL S.A. - PRODUTOS DE CONSUMO
0;155.799;2010;5410;WEG S.A
0;32.55;2010;5762;ETERNIT
0;42.473;2010;5770;EUCATEX
0;15.058;2010;6173;TAURUS ARMAS S.A
0;12.319;2010;6211;FRAS-LE S.A
0;4.696000000000001;2010;6343;TUPY
0;19.579.401;2010;6505;VIA VAREJO S.A
0;38.478;2010;6700;HOTEIS OTHON
0;19.579.401;2010;6815;IGB ELETR
0;1.205;2010;701;BAHEMA S.A
0;13.219000000000001;2010;7510;INDUSTRIAS ROMI S.A
0;3.945;2010;7544;TEXTIL RENAUXVIEW S.A
0;123.734;2010;7595;INEPAR S.A. INDUSTRIA E CONSTRUCOES
0;1.774.613;2010;7617;ITAUSA
0;3.1189999999999998;2010;7811;JOAO FORTES
0;333.667;2010;7870;KEPLER WEBER
0;63.744;2010;80020;GP INVEST
0;11.329;2010;80047;WILSON SONS
0;1.037.433;2010;8087;LOJAS AMERIC
0;744.47;2010;8133;LOJAS RENNER
0;19.579.401;2010;8192;TREVISA
0;6.138;2010;8397;MANGELS INDUSTRIAL S.A
0;47.657;2010;8427;ESTRELA
0;201.294;2010;8451;MARCOPOLO S.A
0;2.346;2010;8575;METAL LEVE
0;654.757;2010;8656;METALURGICA GERDAU S.A
0;19.579.401;2010;8672;JEREISSATI PARTICIPACOES S.A
0;19.579.401;2010;8753;METISA
0;19.579.401;2010;8893;MONTEIRO ARANHA S.A
0;19.579.401;2010;9040;NADIR FIGUEI
0;19.579.401;2010;9067;SUZANO HOLD
0;2.010.948;2010;906;BCO BRADESCO S.A
0;19.579.401;2010;9342;DIMED
0;277.29;2010;9393;PARANAPANEMA S.A
0;350;2010;94;PANATLANTICA
0;19.579.401;2010;9512;PETROLEO BRASILEIRO S.A. PETROBRAS
0;19.579.401;2010;9954;ALFA HOLDING
0;19.579.401;2010;9989;REFINARIA DE PETROLEOS MANGUINHOS S.A
0;2.918.916;2011;1023;BCO BRASIL S.A
0;93.46600000000001;2011;10456;ALPARGATAS
0;40.091;2011;10472;SARAIVA LIVR
0;311;2011;10880;SONDOTECNICA
0;28.471999999999998;2011;10960;SPRINGER
0;22.303.864;2011;11070;WLM PART. E
0;17.313;2011;11223;TEKA
0;22.303.864;2011;11231;TEKNO
0;22.303.864;2011;11312;OI S.A
0;22.303.864;2011;11398;CRISTAL PIGMENTOS DO BRASIL S.A
0;16.207;2011;1155;BANESTES S.A. - BCO EST ESPIRITO SANTO
0;61.141999999999996;2011;11592;UNIPAR
0;944;2011;11762;VULCABRAS
0;22.303.864;2011;11932;IOCHPE MAXION S.A
0;22.303.864;2011;11975;AZEVEDO
0;1.794;2011;11991;WETZEL S.A
0;22.303.864;2011;1210;BCO ESTADO DO RIO GRANDE DO SUL S.A
0;1.1520000000000001;2011;12190;BOMBRIL S.A
0;211;2011;12530;ITAUTEC
0;22.303.864;2011;12572;RECRUSUL
0;22.303.864;2011;12653;KLABIN S.A
0;22.176;2011;12696;SANSUY S.A. INDUSTRIA DE PLASTICOS
0;9;2011;12823;ALIPERTI
0;2.8939999999999997;2011;1325;BCO MERCANTIL DO BRASIL S.A
0;22.303.864;2011;13285;JOSAPAR
0;33.093;2011;13471;PLASCAR PARTICIPACOES INDUSTRIAIS S.A
0;19.439;2011;13765;MINUPAR
0;3.736;2011;13773;PBG
0;22.303.864;2011;13781;SAO CARLOS
0;1.181;2011;1384;BCO ALFA DE INVESTIMENTO S.A
0;22.303.864;2011;13986;SUZANO S.A
0;382.87699999999995;2011;14109;RANDON S.A. IMPLEMENTOS E PARTICIPACOES
0;22.303.864;2011;14133;TEC TOY S.A
0;22.303.864;2011;14206;BRB BCO DE BRASILIA S.A
0;589.659;2011;14311;COPEL
0;2.837.369;2011;14320;USIMINAS
0;2.736;2011;14346;WHIRLPOOL
0;589;2011;14451;CIA ENERGETICA DE BRASILIA
0;2.077.916;2011;14460;CYRELA BRAZIL REALTY S.A.EMPREEND E PART
0;22.303.864;2011;14664;SCHULZ
0;768.293;2011;14761;CIA HERING
