;QtdAcoes;ano;cvm;empresa_descr
0;82.038.041  ;2010;21016;ESTACIO PART
0;340;2010;21032;ALGAR TELEC
0;86.5;2010;21040;CYRE COM-CCP
0;458.362.776  ;2010;21091;DURATEX
0;831.892.440  ;2010;21121;SUL AMERICA
0;81.79899999999999;2010;21130;TRISUL
0;400.652;2010;21148;TENDA
0;21.831999999999997;2010;21156;J.MACEDO
0;168.877;2010;21180;BR BROKERS
0;244.343.940  ;2010;21199;BANCO PAN
0;136.69299999999998;2010;21237;ENEVA
0;139.467;2010;21300;ALIANSCE
0;11.212.500  ;2010;21342;OSX BRASIL
0;133.407.162  ;2010;21350;DIRECIONAL
0;32.774;2010;21393;CELGPAR
0;547.846;2010;21431;HYPERA
0;57.25;2010;21440;LE LIS BLANC
0;163.91;2010;21490;ALUPAR
0;144.73;2010;21555;UNIDAS
0;2.044.014.295  ;2010;21610;B3
0;140.763.600  ;2010;21636;RENOVA
0;41.207;2010;21717;TARPON INV
0;1.364.783.800  ;2010;21733;CIELO
0;131.298.550  ;2010;21881;FLEURY
0;391.283;2010;21903;ECON
0;198.89;2010;22020;JSL
0;184.551;2010;22055;LOJAS MARISA
0;4.619.349  ;2010;22187;PETRORIO
0;936.216;2010;22217;ALPER S.A
0;78.248;2010;22349;AREZZO CO
0;531.7280000000001;2010;22357;SIERRABRASIL
0;62.021.962  ;2010;22365;ENAUTA PART
0;57.466;2010;22454;TIME FOR FUN
0;150.0;2010;22470;MAGAZ LUIZA
0;1.614.883  ;2010;22497;QUALICORP
0;73.950.000  ;2010;22500;BR PHARMA
0;128.591.827  ;2010;22519;TECHNOS
0;339.366.954  ;2010;22551;SOMOS EDUCA
0;100.000.000  ;2010;22594;STATKRAFT
0;31.189.890  ;2010;22691;LOCAMERICA
0;8.104;2010;2429;CELUL IRANI
0;1.132.357.090  ;2010;2437;ELETROBRAS
0;682.415;2010;2453;CEMIG
0;38.571;2010;2461;CELESC
0;88.320.000  ;2010;3069;FERBASA
0;3.569.059  ;2010;3077;CEDRO
0;7.68;2010;3115;SEG AL BAHIA
0;116.675;2010;3158;COTEMINAS
0;322.075;2010;3190;REDE ENERGIA
0;9.134;2010;3298;HABITASUL
0;145;2010;3395;IND CATAGUAS
0;6.5729999999999995;2010;3654;MELHOR SP
0;1.516.802  ;2010;3980;GERDAU
0;1.483.033.685  ;2010;4030;SID NACIONAL
0;39.299;2010;4081;SANTANENSE
0;14.405999999999999;2010;4146;KARSTEN
0;5.365.305  ;2010;4170;VALE
0;31.485;2010;4359;ELEKEIROZ
0;21.673.675  ;2010;4537;GRAZZIOTIN
0;62.400.000  ;2010;4669;GUARARAPES
0;73.646.388  ;2010;4707;ALFA CONSORC
0;69;2010;4723;CONST A LIND
0;801.665;2010;4820;BRASKEM
0;23.153000000000002;2010;4863;COR RIBEIRO
0;5.043;2010;5207;DOHLER
0;47.401;2010;5312;MUNDIAL
0;620.905.029  ;2010;5410;WEG
0;89.500.000  ;2010;5762;ETERNIT
0;92.619;2010;5770;EUCATEX
0;128.234;2010;6173;FORJA TAURUS
0;102.381;2010;6211;FRAS-LE
0;57.138999999999996;2010;6343;TUPY
0;322.688;2010;6505;VIAVAREJO
0;183.72400000000002;2010;6700;HOTEIS OTHON
0;12.504.967  ;2010;6815;IGB SA
0;5.451.213  ;2010;701;BAHEMA
0;74.758;2010;7510;INDS ROMI
0;42.592.810  ;2010;7544;TEX RENAUX
0;95.66;2010;7595;INEPAR
0;4.374.281  ;2010;7617;ITAUSA
0;100.000.000  ;2010;7811;JOAO FORTES
0;1.309.272  ;2010;7870;KEPLER WEBER
0;164.115.471  ;2010;80020;GP INVEST
0;71.14399999999999;2010;80047;WILSON SONS
0;758.302.985  ;2010;8087;LOJAS AMERIC
0;122.34899999999999;2010;8133;LOJAS RENNER
0;1.751;2010;8192;TREVISA
0;17.349.638  ;2010;8397;MANGELS INDL
0;16.167;2010;8427;ESTRELA
0;448.450.042  ;2010;8451;MARCOPOLO
0;42.769.500  ;2010;8575;METAL LEVE
0;412.68199999999996;2010;8656;GERDAU MET
0;963.939;2010;8672;JEREISSATI
0;9.764.483  ;2010;8753;METISA
0;11.298;2010;8893;MONT ARANHA
0;13.579;2010;9040;NADIR FIGUEI
0;126.75299999999999;2010;9067;SUZANO HOLD
0;3.762.450  ;2010;906;BRADESCO
0;4.592.197  ;2010;9342;DIMED
0;319.176.942  ;2010;9393;PARANAPANEMA
0;8.856;2010;94;PANATLANTICA
0;13.044.497  ;2010;9512;PETROBRAS
0;84.682.269  ;2010;9954;ALFA HOLDING
0;901.092;2010;9989;PET MANGUINH
0;2.865.416.988  ;2011;1023;BRASIL
0;353.45599999999996;2011;10456;ALPARGATAS
0;28.596;2011;10472;SARAIVA LIVR
0;2.568;2011;10880;SONDOTECNICA
0;126.471.030  ;2011;10960;SPRINGER
0;7.282.934  ;2011;11070;WLM IND COM
0;38.359;2011;11223;TEKA
0;2.694;2011;11231;TEKNO
0;603.02;2011;11312;OI
