;cvm;codigo;cvm2;ano;1;1.01.01;1.01.02;1.02.01.01;1.02.01.02;1.02.01.03;2.01.04;2.01.02;2.02.01;3.05;open;close
45;10472;SLED3;10472;2010;1.102.477;65.991;;;;0;96.875;279.076;144.137;117.284;23,50;30,50
46;10472;SLED3;10472;2011;1.337.446;101.609;;;;0;117.872;307.762;257.864;139.592;;
47;10472;SLED3;10472;2012;1.334.941;87.035;;;;;148.371;299.114;226.622;143.899;;
48;10472;SLED3;10472;2013;1.326.029;23.086;;;;;224.722;215.945;220.962;49.124;;
49;10472;SLED3;10472;2014;1.871.799;275.019;;;;1.963;503.677;436.358;297.566;67.792;;
50;10472;SLED3;10472;2015;1.750.734;126.503;62.513;;;0;324.495;386.082;351.393;-99.844;;
51;10472;SLED3;10472;2016;1.333.877;125.290;0;;;;194.268;403.716;148.954;-4.772;5,00;10,00
52;10472;SLED3;10472;2017;1.399.185;68.943;9;;;;119.635;546.880;198.032;-19.075;;
53;10472;SLED3;10472;2018;978.674;95.423;6;;;;154.468;549.324;18.403;-205.673;;
54;10472;SLED4;10472;2010;1.102.477;65.991;;;;0;96.875;279.076;144.137;117.284;33,90;44,07
55;10472;SLED4;10472;2011;1.337.446;101.609;;;;0;117.872;307.762;257.864;139.592;45,49;20,90
56;10472;SLED4;10472;2012;1.334.941;87.035;;;;;148.371;299.114;226.622;143.899;20,69;25,95
57;10472;SLED4;10472;2013;1.326.029;23.086;;;;;224.722;215.945;220.962;49.124;25,95;25,97
58;10472;SLED4;10472;2014;1.871.799;275.019;;;;1.963;503.677;436.358;297.566;67.792;24,16;6,45
59;10472;SLED4;10472;2015;1.750.734;126.503;62.513;;;0;324.495;386.082;351.393;-99.844;5,85;4,93
60;10472;SLED4;10472;2016;1.333.877;125.290;0;;;;194.268;403.716;148.954;-4.772;4,80;3,71
61;10472;SLED4;10472;2017;1.399.185;68.943;9;;;;119.635;546.880;198.032;-19.075;3,55;4,24
62;10472;SLED4;10472;2018;978.674;95.423;6;;;;154.468;549.324;18.403;-205.673;4,24;2,18
63;10880;SOND3;10880;2010;82.917;3.814;18.052;5.496;;30.101;;737;;11.445;;
