;1;1.01;1.01.01;1.01.01.01;1.01.01.02;1.01.01.03;1.01.01.04;1.01.01.05;1.01.02;1.01.02.01;1.01.02.01.01;1.01.02.01.02;1.01.02.01.03;1.01.02.01.04;1.01.02.01.05;1.01.02.01.06;1.01.02.01.07;1.01.02.01.08;1.01.02.01.09;1.01.02.02;1.01.02.02.01;1.01.02.02.02;1.01.02.03;1.01.02.03.01;1.01.03;1.01.03.01;1.01.03.01.01;1.01.03.01.02;1.01.03.01.03;1.01.03.01.04;1.01.03.01.05;1.01.03.01.06;1.01.03.01.07;1.01.03.01.08;1.01.03.01.09;1.01.03.02;1.01.03.02.01;1.01.03.02.02;1.01.03.02.03;1.01.03.02.04;1.01.03.02.05;1.01.03.02.06;1.01.03.02.07;1.01.03.02.08;1.01.03.02.09;1.01.03.02.10;1.01.03.02.15;1.01.03.02.20;1.01.03.03;1.01.03.04;1.01.04;1.01.04.01;1.01.04.02;1.01.04.03;1.01.04.04;1.01.04.05;1.01.04.06;1.01.04.07;1.01.04.08;1.01.04.09;1.01.04.10;1.01.04.11;1.01.04.19;1.01.04.20;1.01.05;1.01.06;1.01.06.01;1.01.06.01.01;1.01.06.01.02;1.01.06.01.03;1.01.06.01.04;1.01.06.01.05;1.01.06.01.06;1.01.07;1.01.07.01;1.01.07.02;1.01.07.03;1.01.07.20;1.01.08;1.01.08.01;1.01.08.01.01;1.01.08.01.02;1.01.08.01.03;1.01.08.01.04;1.01.08.01.05;1.01.08.01.06;1.01.08.01.07;1.01.08.01.08;1.01.08.01.20;1.01.08.02;1.01.08.02.01;1.01.08.02.02;1.01.08.03;1.01.08.03.01;1.01.08.03.02;1.01.08.03.03;1.01.08.03.04;1.01.08.03.05;1.01.08.03.06;1.01.08.03.07;1.01.08.03.08;1.01.08.03.09;1.01.08.03.10;1.01.08.03.11;1.01.08.03.16;1.01.08.03.17;1.01.08.03.18;1.01.08.03.19;1.01.08.03.20;1.01.08.04;1.01.09;1.01.09.01;1.01.09.01.01;1.01.09.01.02;1.01.09.01.03;1.01.09.02;1.01.09.03;1.01.09.03.01;1.01.09.03.02;1.01.09.03.03;1.01.09.03.04;1.01.09.03.05;1.01.09.03.06;1.02;1.02.01;1.02.01.01;1.02.01.01.01;1.02.01.01.02;1.02.01.01.03;1.02.01.01.04;1.02.01.01.05;1.02.01.01.06;1.02.01.01.07;1.02.01.01.08;1.02.01.01.09;1.02.01.01.10;1.02.01.02;1.02.01.02.01;1.02.01.02.02;1.02.01.02.03;1.02.01.02.04;1.02.01.03;1.02.01.03.01;1.02.01.03.02;1.02.01.03.03;1.02.01.04;1.02.01.04.01;1.02.01.04.02;1.02.01.04.03;1.02.01.04.04;1.02.01.04.05;1.02.01.04.06;1.02.01.05;1.02.01.05.01;1.02.01.05.02;1.02.01.06;1.02.01.06.01;1.02.01.06.02;1.02.01.06.03;1.02.01.06.04;1.02.01.07;1.02.01.07.01;1.02.01.07.02;1.02.01.07.03;1.02.01.07.04;1.02.01.08;1.02.01.08.01;1.02.01.08.03;1.02.01.08.04;1.02.01.09;1.02.01.09.01;1.02.01.09.02;1.02.01.09.03;1.02.01.09.04;1.02.01.09.05;1.02.01.09.06;1.02.01.09.07;1.02.01.09.08;1.02.01.09.09;1.02.01.09.10;1.02.01.09.11;1.02.01.09.12;1.02.01.09.13;1.02.01.09.14;1.02.01.09.15;1.02.01.09.16;1.02.01.09.17;1.02.01.09.20;1.02.01.10;1.02.01.10.01;1.02.01.10.02;1.02.01.10.03;1.02.01.10.04;1.02.01.10.05;1.02.01.10.06;1.02.01.10.07;1.02.01.10.08;1.02.01.10.09;1.02.01.10.10;1.02.01.10.11;1.02.01.10.12;1.02.01.10.13;1.02.01.10.14;1.02.01.10.15;1.02.01.10.16;1.02.01.10.17;1.02.01.10.18;1.02.01.10.19;1.02.01.10.20;1.02.01.11;1.02.01.11.01;1.02.01.11.02;1.02.01.11.03;1.02.02;1.02.02.01;1.02.02.01.01;1.02.02.01.02;1.02.02.01.04;1.02.02.01.05;1.02.02.01.06;1.02.02.01.07;1.02.02.02;1.02.02.02.01;1.02.02.02.02;1.02.02.02.03;1.02.02.02.04;1.02.02.02.05;1.02.02.02.06;1.02.02.02.15;1.02.03;1.02.03.01;1.02.03.01.01;1.02.03.01.02;1.02.03.01.03;1.02.03.01.04;1.02.03.01.05;1.02.03.01.06;1.02.03.01.07;1.02.03.01.08;1.02.03.01.09;1.02.03.01.10;1.02.03.01.11;1.02.03.01.12;1.02.03.01.13;1.02.03.01.14;1.02.03.01.19;1.02.03.01.20;1.02.03.02;1.02.03.02.01;1.02.03.03;1.02.03.03.01;1.02.03.03.02;1.02.03.03.03;1.02.03.03.04;1.02.03.04;1.02.03.05;1.02.03.06;1.02.03.07;1.02.03.08;1.02.04;1.02.04.01;1.02.04.01.01;1.02.04.01.02;1.02.04.01.03;1.02.04.01.04;1.02.04.01.05;1.02.04.01.06;1.02.04.01.07;1.02.04.01.08;1.02.04.01.09;1.02.04.01.10;1.02.04.01.11;1.02.04.01.12;1.02.04.01.19;1.02.04.01.20;1.02.04.02;1.02.04.02.01;1.02.04.02.02;1.02.04.02.03;1.02.04.02.04;1.02.04.02.05;1.02.04.02.06;1.02.04.02.07;1.02.04.02.08;1.02.04.02.09;1.02.04.02.10;1.03;1.03.01;1.03.02;1.03.03;1.03.04;1.03.05;1.03.06;1.04;1.04.01;1.04.02;1.04.03;1.04.04;1.04.05;1.05;1.05.01;1.05.02;1.05.03;1.05.03.01;1.05.03.02;1.05.03.03;1.05.03.04;1.05.03.05;1.05.04;1.06;1.06.01;1.06.01.01;1.06.02;1.06.02.01;1.07;1.07.01;1.07.02;1.07.03;1.07.04;1.07.05;1.07.06;1.08;1.08.01;1.08.01.01;1.08.01.02;1.08.02;ano;cvm;empresa_descr
valores;403.006;359.859;8.342;;;;;;347.055;347.055;;347.055;;;;;;;;;;;;;1.086;450;;;;;;;;;;636;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.499;2.499;;;;;;;;;;;;877;;;;;;;;;;;;;;877;877;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43.147;43.147;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43.147;;;43.147;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010;19860;RBCAPITALSEC
valores;9.594.924;2.378.168;514.109;;;;;;11.122;;;;;;;;;;;11.122;11.122;;;;1.338.704;1.338.704;1.338.704;;;;;;;;;;;;;;;;;;;;;;;;20.537;;;;;;;;;;;;;;;278.885;278.885;278.885;;;;;;2.114;;;;;212.697;;;;;;;;;;;;;;212.697;59.724;152.973;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.216.756;1.956.505;;;;;;;;;;;;;;;;;296.261;296.261;;;;;;;;;;;;;899.265;899.265;;;;714;;;;;;;;;760.265;;;469.030;57.908;225.251;211;7.865;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17.586;17.586;;;17.586;;;;;;;;;;;;1.628.893;1.327.936;;;;;;;;;;;;;;;;;;;300.957;;;;;;;;;;3.613.772;3.613.772;3.466.439;147.333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010;19879;LIGHT SA
valores;10.569.767;514.994;19.843;;;;;;232.579;232.579;231.961;;618;;;;;;;;;;;;154.933;154.933;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59.922;59.922;53.434;6.488;;;;;7.683;;;;;40.034;;;;;;;;;;;;;;40.034;10.033;30.001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.054.773;355.912;130.381;65.912;;64.469;;;;;;;;;;;;;170.775;80.935;89.840;;;;;;;;;;;;54.756;54.756;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.676.115;;;;;;;;9.676.115;;;;;;;;11.574;11.574;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.172;11.172;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010;19909;BR MALLS PAR
valores;5.105.236;310.202;232.456;;;;;;;;;;;;;;;;;;;;;;54.514;54.514;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.811;9.811;;;;;;;6.498;;;;;6.923;;;;;;;;;;;;;;6.923;0;1.075;;5.848;;;;;;;;;;;;;;;;;;;;;;;;;;;4.795.034;22.664;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22.571;22.571;;;;;;;;;;;;;93;;;93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.770.625;;;;;;;;4.770.625;;;;;;;;1.745;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010;19925;BR PROPERT
valores;1.415.397;528.678;232.508;;;;;;6.317;6.317;;;6.317;;;;;;;;;;;;243.129;243.129;264.029;-20.900;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29.894;29.894;;;;;;;;;;;;16.830;;;;;;;;;;;;;;16.830;800;16.030;;;;;;;;;;;;;;;;;;;;;;;;;;;;;886.719;256.303;50.129;;;50.129;;;;;;;;;;;;;30.170;14.807;15.363;;;;;;;;;;;;170.088;170.088;;;;;;;;;;;;;5.916;;;5.916;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;8;8;;;;;;;;;;;;;;36.535;36.535;;;;;;;;;;;;;;;;;;;;;;;;;;;;;593.873;593.873;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010;19992;TOTVS
valores;3.276.531;1.098.535;550.077;;;;;;;;;;;;;;;;;;;;;;489.169;427.370;427.370;;;;;;;;;61.799;55.335;6.464;;;;;;;;;;;;;7.965;;;;;;;;;;;;;;;51.324;51.324;50.596;;728;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.177.996;428.949;;;;;;;;;;;;;;;;;58.177;58.177;;;;;;;;;;;;;311.521;148.027;42.813;112.511;8.170;;;;;;;;;;59.251;;;50.409;;8.842;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;221;;;;;;;;;;;;;;;;142.245;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.606.581;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010;20010;EQUATORIAL
valores;806.925;381.387;139.744;;;;;;;;;;;;;;;;;;;;;;128.080;124.474;125.814;-1.340;;;;;;;;3.606;3.606;;;;;;;;;;;;;;84.969;;;;;;;;;;;;;;;28.183;28.183;;;;;;;411;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;425.538;21.274;;;;;;;;;;;;;;;;;135;;135;;;;;;;;;;;;13.065;13.065;;;;;;;;;;;;;8.074;;;7.827;247;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.282;2.282;;;;;;;;;;;;;;;232.029;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;169.953;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010;20028;VALID
valores;1.445.274;406.666;58.465;;;;;;;;;;;;;;;;;;;;;;123.624;123.624;;;;;;;;;;;;;;;;;;;;;;;;;160.038;;;;;;;;;;;;;;;39.605;39.605;;;;;;;5.618;;;;;19.316;;;;;;;;;;;;;;19.316;3.069;0;16.247;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.038.608;138.651;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;84.375;84.375;;;;;;;;;;;;;54.276;;;2.864;21.944;22.284;7.184;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26.347;26.347;139;;26.208;;;;;;;;;;;;346.738;322.237;;;;;;;;;;;;;;;;;;;24.501;;;;;;;;;;526.872;21.715;;6.376;15.339;;;;;;;;;;;;505.157;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010;20060;LUPATECH
valores;13.981.014;8.302.326;2.321.199;;;;;;1.222.198;1.207.253;1.207.253;;;;;;;;;14.945;14.945;;;;634.221;634.221;580.781;;34.061;19.379;;;;;;;;;;;;;;;;;;;;;3.654.591;;;;;;;;;;;;;;;249.006;249.006;;;;;;;40.540;;;;;180.571;;;;;;;;;;;;;;180.571;169.251;11.320;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.678.688;2.484.091;17;17;;;;;;;;;;86.771;86.771;;;;961.995;961.995;;;8.171;;;;;;;;;;231.750;231.750;;;;6.751;;;;;;;;;1.188.636;;;60.859;327.487;774.503;25.787;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;8;8;;;;;;;;;;;;;;2.001.074;2.001.074;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.193.515;1.193.515;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010;20087;EMBRAER
valores;912.963;194.019;11.180;;;;;;121.518;121.518;121.518;;;;;;;;;;;;;;25.345;18.488;36.018;-17.530;;;;;;;;6.857;1.104;1.616;4.137;;;;;;;;;;;;355;;;;;;;;;;;;;;;35.270;35.270;;;;;;;351;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;718.944;194.840;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;156.197;156.197;;;;;;;;;;;;;38.643;;;31.303;7.226;114;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;758;758;;;758;;;;;;;;;;;;11.151;11.151;22.177;4.555;-15.581;;;;;;;;;;;;;;;;;;;;;;;;;;512.195;16.940;;;11.011;5.929;;;;;;;;;;;495.255;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010;20125;ODONTOPREV
valores;4.575.830;1.081.396;414.578;1.115;413.463;;;;;;;;;;;;;;;;;;;;634.773;630.356;88.004;542.352;;;;;;;;4.417;;;;;;;;;;;;;;;786;;;;;;;;;;;;;;;31.210;31.210;;;;;;;;;;;;49;;;;;;;;;;;;;;49;49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.494.434;3.477.534;62.835;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;639.393;638.664;729;;;;;;;;2.002;;2.002;;2.773.304;;;3.579;2.769.725;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12.741;12.741;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.159;4.159;;4.159;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010;20257;TAESA
valores;14.665.324;3.271.910;1.761.817;;;;;;319.277;319.277;;;;;;;;;;;;;;;984.100;536.352;397.301;109.092;29.959;;;;;;;447.748;360.508;87.240;;;;;;;;;;;;;4.585;;;;;;;;;;;;;;;202.131;202.131;48.412;153.719;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.393.414;3.889.650;;;;;;;;;;;;0;0;;;;48.396;;48.396;;;;;;;;;;;;582.936;569.885;13.051;;;;;;;;4.529;;;;3.253.789;;;125.923;3.127.866;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.571;1.571;;;1.571;;;;;;;;;;;;7.024.474;5.875.145;;;;;;;;;;;;;;;;;;;1.149.329;;;;;;;;;;477.719;477.719;;477.719;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010;20320;CEMIG GT
valores;2.361.609;680.397;54.372;;;;;;;;;;;;;;;;;;;;;;359.921;259.484;;;;;;;;;;100.437;29.518;55.674;0;782;14.463;;;;;;;;;;264.499;;;;;;;;;;;;;;;;;;;;;;;1.605;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.681.212;145.950;10.578;;10.578;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;27.010;27.010;;;;;;;;;;;;;108.362;;;5.749;30.751;71.862;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;127;127;;;127;;;;;;;;;;;;977.706;931.899;;;;;;;;;;;;;;;;;;;45.807;;;;;;;;;;557.429;83.302;;128.175;9.526;-54.399;;;;;;;;;;;474.127;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010;20338;M.DIASBRANCO
valores;1.070.574;1.001.648;11.642;;;;;;;;;;;;;;;;;;;;;;403.498;403.498;;;;;;;;;;;;;;;;;;;;;;;;;377.514;;;;;;;;;;;;;;;172.299;172.299;;;;;;;;;;;;36.695;0;0;;;;;;;;;;;;36.695;1.377;35.318;;;;;;;;;;;;;;;;;;;;;;;;;;;;;68.926;31.942;;;;;;;;;;;;;;;;;11.756;;11.756;;;;;;;;;;;;1.357;1.357;;;;;;;;;;;;;18.829;;;2.668;;0;16.161;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28.264;24.904;;;;;;;;;;;;;;;;;;;3.360;;;;;;;;;;8.720;8.720;;16;4.304;3.986;414;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010;20346;PROFARMA
valores;1.321.802;440.528;126.653;;;;;;10.827;10.827;;;;;;;;;;;;;;;36.067;13.268;;;;;;;;;;22.799;22.799;;;;;;;;;;;;;;163.770;;;;;;;;;;;;;;76.132;23.017;23.017;;;;;;;761;;;;;3.301;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;881.274;155.856;;;;;;;;;;;;;;;;;0;0;;;3.300;;;;;;;29.943;;;25.572;25.572;;;;;;;;;;;;;97.041;8.119;;32.589;741;2.018;53.574;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;489.433;489.433;;;;;;;;;;;;;;;;;;;;;;;;;;;;;235.985;235.985;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010;20354;TERRA SANTA
valores;1.629.669;1.407.924;89.817;;;;;;;;;;;;;;;;;;;;;;622.983;622.983;;;;;;;;;;;;;;;;;;;;;;;;;541.192;;;;;;;;;;;;;;;118.555;;;;;;;;18.192;18.192;;;;17.185;;;;;;;;;;;;;;17.185;12.911;4.274;;;;;;;;;;;;;;;;;;;;;;;;;;;;;221.745;87.128;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;77.193;;;;;;;;;;;;;;9.935;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.660;;;;;;;;;;;;;;;;58.648;58.648;58.648;;;;;;;;;;;;;;;;;;;;;;;;;;;;71.309;71.309;;71.309;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010;20362;POSITIVO TEC
valores;985.351;368.546;278.450;;;;;;;;;;;;;;;;;;;;;;81.091;78.858;90.345;-11.487;;;;;;;;2.233;2.233;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.388;8.388;;;;;;;617;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;616.805;135.734;;;;;;;;;;;;;;;;;3.554;2.543;1.011;;;;;;;;;;;;7.967;7.967;;;;;;;;;403;;;403;123.810;;;123.810;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43.339;43.339;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;437.732;437.732;;346.217;91.515;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010;20370;LOPES BRASIL
valores;3.135.070;1.901.013;278.124;;;;;;11.453;0;;0;;;;;;;;11.453;11.453;;;;928.150;928.150;;;;;;;;;;;;;;;;;;;;;;;;;587.430;;;;;;;;;;;;;;;14.151;14.151;;;;;;;5.433;;;;;76.272;;;;;;;;;;;;;;76.272;76.272;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.234.057;1.176.363;;;;;;;;;;;;;;;;;634.691;624.375;10.316;;460.976;;;;;;;;;;;;;;;;;;;;80.696;11.527;0;69.169;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36.022;36.022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21.672;21.672;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010;20435;TECNISA
valores;2.171.424;1.752.197;94.997;;;;;;152.764;;;;;;;;;;;152.764;152.764;;;;938.361;938.361;938.361;;;;;;;;;;;;;;;;;;;;;;;;398.964;398.964;;;;;;;;;;;;;;;;;;;;;;4.653;1.613;3.040;;;162.458;24.014;;;;;;;;;;;;;138.444;104.367;1.296;23.782;8.999;;;;;;;;;;;;;;;;;;;;;;;;;;;419.227;370.530;;;;;;;;;;;;129.864;129.864;;;;58.700;58.700;;;82.777;82.777;;;;;;;;;;;;;;;;;;;97.859;;;;1.330;;;1.330;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;39.873;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.824;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010;20451;RNI
valores;15.386.410;11.520.847;547.888;;;;;;1.168.669;1.168.669;;1.168.669;;;;;;;;;;;;;5.777.827;5.777.827;;;;;;;;;;;;;;;;;;;;;;;;;3.316.805;;;;;;;;;;;;;;;88.263;88.263;;;;;;;66.864;;;;;554.531;;;;;;;;;;;;;;554.531;265.260;88.869;13.437;94.394;29.604;14.218;48.749;;;;;;;;;;;;;;;;;;;;;;;;3.865.563;2.776.561;4.159;;4.159;;;;;;;;;;;;;;1.115.020;1.115.020;;;954.420;;;;;;;;;;45.348;45.348;;;;26;;;;;35.289;;;35.289;622.299;;;19.157;333.896;137.192;7.435;28.075;1.728;13.796;66.016;15.004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;56.881;56.881;46.866;;10.015;;;;;;;;;;;;204.924;204.924;;;;;;;;;;;;;;;;;;;;;;;;;;;;;827.197;29.152;;29.152;;;;;;;;;;;;;798.045;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010;20478;PDG REALT
valores;2.294.331;723.472;33.258;;;;;;594.988;594.988;;594.988;;;;;;;;;;;;;70.940;66.830;;;;;;;;;;4.110;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;13.589;13.589;;;;;;;30;;;;;10.667;;;;;;;;;;;;;;10.667;;488;10.179;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.570.859;50.280;;;;;;;;;;;;;;;;;20.781;20.781;;;;;;;;;;;;;8.822;8.822;;;;;;;;;15.603;;;15.603;5.074;;;1.402;1.223;2.449;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.400.897;924;;;924;;;;1.399.973;;;;;;;;13.743;13.743;;;;;;;;;;;;;;;;;;;;;;;;;;;;;105.939;105.939;;88.169;17.770;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010;20494;IGUATEMI
valores;3.218.235;2.589.309;26.413;;;;;;486.636;486.636;;;;;;;;;;;;;;;1.486.577;1.471.164;;;;;;;;;;15.413;15.413;;;;;;;;;;;;;;448.389;;;;;;;;;;;;;;;15.036;15.036;;;;;;;;;;;;126.258;;;;;;;;;;;;;;126.258;45.249;81.009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;628.926;607.079;;;;;;;;;;;;;;;;;434.904;;;;157.354;;;;;;;;;;;;;;;;;;;;4.793;;;;10.028;;;4.129;5.899;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;;;;;;;;11;;11;;;;;;18.947;18.947;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.889;2.889;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010;20524;EVEN
valores;374.662.683;56.800.151;56.800.151;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89.967.165;89.967.165;24.821.365;;;;;;;;;;;47.206.019;;;;;17.939.781;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;174.106.525;22.658.520;151.366.561;81.444;;;;14.842.066;13.624.880;1.217.186;;;;2.095.462;66.821;;2.028.641;115.640;1.913.001;;;;;370.586;370.586;;;;4.518.109;4.518.109;;;;;;31.962.619;3.650.383;3.650.383;;28.312.236;2010;20532;SANTANDER BR
valores;1.496.106;321.704;276.475;;;;;;19.224;19.224;;;19.224;;;;;;;;;;;;9.540;9.540;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.567;7.567;;;;;;;8.183;1.050;7.133;;;715;;;;;;;;;;;;;;715;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.174.402;25.053;25.053;;;25.053;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;914.039;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;235.310;235.310;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010;20540;CPFL RENOVAV
