;cvm;codigo;ano;1;1.01.01;1.01.02;1.02.01.01;1.02.01.02;1.02.01.03;2.01.04;2.01.02;2.02.01;3.05;open;close;QtdAcoes;Volume;EBIT;ROIC;EV;DVIDALIQUIDA
2973;8427;ESTR3;2017;225237;2938.0;;;;;54905.0;9323.0;1470.0;-5587.0;40.0;40.0;808;6.428;-5587.0;-0.026233002779655925;32320.0;
2974;8427;ESTR4;2017;225237;2938.0;;;;;54905.0;9323.0;1470.0;-5587.0;;;808;6.428;-5587.0;-0.026233002779655925;;
2975;8427;ESTR3;2018;208833;335.0;;;;;;;;17707.0;;;808;840;17707.0;;;
2976;8427;ESTR4;2018;208833;335.0;;;;;;;;17707.0;;;808;840;17707.0;;;
2977;8451;POMO3;2010;3029601;672123.0;54092.0;128096.0;;453806.0;268200.0;306901.0;1094439.0;363792.0;1.5499999523162842;3.0199999809265137;448450042;201.294;363792.0;0.17740957788954037;695097543.7162356;
2978;8451;POMO4;2010;3029601;672123.0;54092.0;128096.0;;453806.0;268200.0;306901.0;1094439.0;363792.0;1.7414100170135498;3.4679300785064697;448450042;201.294;363792.0;0.17740957788954037;780935395.2689471;
2979;8451;POMO3;2011;3381131;904318.0;2394.0;116371.0;;448660.0;617219.0;324261.0;869809.0;428482.0;3.25;3.220000028610229;448450042;405.245;428482.0;0.1990576766554304;1457462636.5;
2980;8451;POMO4;2011;3381131;904318.0;2394.0;116371.0;;448660.0;617219.0;324261.0;869809.0;428482.0;3.517549991607666;3.517549991607666;448450042;405.245;428482.0;0.1990576766554304;1577445441.4735575;
2981;8451;POMO3;2012;3512075;393945.0;135690.0;0.0;;492388.0;757659.0;382264.0;583316.0;391256.0;;;448450042;699.916;391256.0;0.14300992811782448;;
2982;8451;POMO4;2012;3512075;393945.0;135690.0;0.0;;492388.0;757659.0;382264.0;583316.0;391256.0;;;448450042;699.916;391256.0;0.14300992811782448;;
2983;8451;POMO3;2013;4117840;624717.0;144680.0;26037.0;;536306.0;367612.0;308165.0;1468614.0;394893.0;6.0999999046325675;4.900000095367432;896900084;1.117.040;394893.0;0.12398687831990249;5471090426.864942;
2984;8451;POMO4;2013;4117840;624717.0;144680.0;26037.0;;536306.0;367612.0;308165.0;1468614.0;394893.0;6.672920227050781;5.060500144958496;896900084;1.117.040;394893.0;0.12398687831990249;5984942712.167145;
2985;8451;POMO3;2014;4438565;642615.0;242874.0;30152.0;;581208.0;421676.0;286709.0;1691191.0;265262.0;4.8400001525878915;3.390000104904175;896900084;199.084.666;265262.0;0.07558956480902851;4340996543.416093;
2986;8451;POMO4;2014;4438565;642615.0;242874.0;30152.0;;581208.0;421676.0;286709.0;1691191.0;265262.0;4.792600154876709;3.2942900657653813;896900084;199.084.666;265262.0;0.07558956480902851;4298483481.487333;
2987;8451;POMO3;2015;5038863;1131162.0;186669.0;47345.0;;552397.0;966060.0;249138.0;1509707.0;166069.0;3.0;1.7000000476837158;896900084;1.414.392;166069.0;0.04539186560406367;2690700252.0;
2988;8451;POMO4;2015;5038863;1131162.0;186669.0;47345.0;;552397.0;966060.0;249138.0;1509707.0;166069.0;3.066070079803467;1.835669994354248;896900084;1.414.392;166069.0;0.04539186560406367;2749958512.125616;
2989;8451;POMO3;2016;4968269;1209459.0;230649.0;18817.0;;521962.0;925554.0;251454.0;1374172.0;303943.0;1.6599999666213991;2.150000095367432;925196009;227.953.561;303943.0;0.08665872526199223;1535825344.0582516;
2990;8451;POMO4;2016;4968269;1209459.0;230649.0;18817.0;;521962.0;925554.0;251454.0;1374172.0;303943.0;1.7165999412536619;2.7260100841522217;925196009;227.953.561;303943.0;0.08665872526199223;1588191414.6975224;
2991;8451;POMO3;2017;4732252;958759.0;187818.0;14118.0;;466141.0;833882.0;366399.0;1109595.0;74253.0;2.1199998855590816;3.220000028610229;925196009;247.742.270;74253.0;0.021793645845990747;1961415433.199719;
2992;8451;POMO4;2017;4732252;958759.0;187818.0;14118.0;;466141.0;833882.0;366399.0;1109595.0;74253.0;2.7658100128173833;3.969630002975464;925196009;247.742.270;74253.0;0.021793645845990747;2558916385.510882;
2993;8451;POMO3;2018;5147704;863467.0;91381.0;13260.0;;;;;;301285.0;;;925196009;23.994.839;301285.0;;;
2994;8451;POMO4;2018;5147704;863467.0;91381.0;13260.0;;;;;;301285.0;;;925196009;23.994.839;301285.0;;;
2995;8575;LEVE3;2010;2578157;36389.0;279408.0;;;;168621.0;77791.0;468944.0;119154.0;;;42769500;2.346;119154.0;0.048358405942912616;;
2996;8575;LEVE3;2011;2649332;40293.0;301897.0;;;;488831.0;69037.0;203642.0;242078.0;;;42769500;8.97;242078.0;0.09530622416832743;;
2997;8575;LEVE3;2012;2347729;136279.0;;;;;282141.0;85193.0;191349.0;269728.0;;;128308500;116.7;269728.0;0.12685578460176733;;
2998;8575;LEVE3;2013;2427735;220893.0;;;;;74456.0;93581.0;413828.0;311362.0;25.8799991607666;27.399999618530273;128308500;173.351;311362.0;0.14733721958622242;3320623872.3192215;
2999;8575;LEVE3;2014;2545829;287282.0;;;;;276633.0;98759.0;313672.0;278735.0;26.8700008392334;20.959999084472656;128308500;199.084.666;278735.0;0.12905664815250387;3447649502.6807785;
3000;8575;LEVE3;2015;2477941;152093.0;;;;;180702.0;107408.0;298979.0;264962.0;21.0;24.75;128308500;183.24400000000003;264962.0;0.11943618037900507;2694478500.0;
3001;8575;LEVE3;2016;2354914;256431.0;;;;;156287.0;134106.0;343243.0;16207.0;23.60000038146973;20.76000022888184;128308500;227.953.561;16207.0;0.008250452942586887;3028080648.945809;
3002;8575;LEVE3;2017;2226144;169070.0;;;;;30987.0;171874.0;144995.0;307478.0;20.61000061035156;23.8700008392334;128308500;254.155;307478.0;0.16310099724167196;2644438263.313293;
3003;8575;LEVE3;2018;2316131;97591.0;;;;;;;;376895.0;;;128308500;374.19;376895.0;;;
3004;8656;GOAU3;2010;43116705;1062247.0;1120363.0;26797.0;;211851.0;1683865.0;1783390.0;14279761.0;3605125.0;30.88999938964844;23.60000038146973;41268199999999996;654.757;3605125.0;0.08952146488888747;1.27477467281189e+18;
