;2;2.01;2.01.01;2.01.01.01;2.01.01.01.01;2.01.01.01.02;2.01.01.01.03;2.01.01.01.04;2.01.01.02;2.01.01.02.01;2.01.01.02.02;2.01.01.02.03;2.01.01.02.04;2.01.01.03;2.01.01.04;2.01.01.05;2.01.01.06;2.01.01.07;2.01.02;2.01.02.01;2.01.02.01.01;2.01.02.01.02;2.01.02.01.03;2.01.02.01.04;2.01.02.01.05;2.01.02.01.20;2.01.02.02;2.01.02.02.01;2.01.02.02.02;2.01.02.03;2.01.02.03.01;2.01.02.04;2.01.02.04.01;2.01.03;2.01.03.01;2.01.03.01.01;2.01.03.01.02;2.01.03.01.03;2.01.03.01.04;2.01.03.01.05;2.01.03.01.06;2.01.03.01.07;2.01.03.01.08;2.01.03.01.09;2.01.03.01.10;2.01.03.01.20;2.01.03.02;2.01.03.02.01;2.01.03.02.02;2.01.03.02.03;2.01.03.03;2.01.03.03.01;2.01.03.03.02;2.01.03.03.03;2.01.03.03.20;2.01.03.04;2.01.04;2.01.04.01;2.01.04.01.01;2.01.04.01.02;2.01.04.01.03;2.01.04.01.04;2.01.04.01.05;2.01.04.01.06;2.01.04.02;2.01.04.02.01;2.01.04.02.02;2.01.04.02.03;2.01.04.03;2.01.04.03.01;2.01.04.03.02;2.01.04.04;2.01.05;2.01.05.01;2.01.05.01.01;2.01.05.01.03;2.01.05.01.04;2.01.05.02;2.01.05.02.01;2.01.05.02.02;2.01.05.02.03;2.01.05.02.04;2.01.05.02.05;2.01.05.02.06;2.01.05.02.07;2.01.05.02.08;2.01.05.02.09;2.01.05.02.10;2.01.05.02.11;2.01.05.02.12;2.01.05.02.13;2.01.05.02.14;2.01.05.02.15;2.01.05.02.16;2.01.05.02.17;2.01.05.02.18;2.01.05.02.19;2.01.05.02.20;2.01.05.03;2.01.05.04;2.01.05.05;2.01.05.06;2.01.05.07;2.01.05.08;2.01.06;2.01.06.01;2.01.06.01.01;2.01.06.01.02;2.01.06.01.03;2.01.06.01.04;2.01.06.01.05;2.01.06.01.06;2.01.06.01.07;2.01.06.01.08;2.01.06.02;2.01.06.02.01;2.01.06.02.02;2.01.06.02.03;2.01.06.02.04;2.01.06.02.05;2.01.06.02.06;2.01.06.02.07;2.01.06.02.08;2.01.06.02.09;2.01.06.02.10;2.01.06.02.11;2.01.06.02.12;2.01.06.02.13;2.01.06.02.14;2.01.06.02.15;2.01.06.02.16;2.01.06.02.17;2.01.06.02.18;2.01.07;2.01.07.01;2.01.07.01.01;2.01.07.02;2.01.07.02.01;2.02;2.02.01;2.02.01.01;2.02.01.01.01;2.02.01.01.02;2.02.01.01.03;2.02.01.01.04;2.02.01.01.05;2.02.01.02;2.02.01.02.01;2.02.01.02.02;2.02.01.02.03;2.02.01.03;2.02.01.03.01;2.02.01.03.02;2.02.01.03.03;2.02.01.03.04;2.02.01.04;2.02.01.04.01;2.02.01.04.02;2.02.01.04.03;2.02.01.04.04;2.02.01.05;2.02.01.05.01;2.02.01.06;2.02.01.06.01;2.02.01.06.02;2.02.01.07;2.02.01.07.01;2.02.01.07.02;2.02.01.07.03;2.02.01.08;2.02.01.08.01;2.02.02;2.02.02.01;2.02.02.01.01;2.02.02.01.03;2.02.02.01.04;2.02.02.02;2.02.02.02.01;2.02.02.02.02;2.02.02.02.03;2.02.02.02.04;2.02.02.02.05;2.02.02.02.06;2.02.02.02.07;2.02.02.02.08;2.02.02.02.09;2.02.02.02.10;2.02.02.02.11;2.02.02.02.12;2.02.02.02.13;2.02.02.02.14;2.02.02.02.15;2.02.02.02.16;2.02.02.02.17;2.02.02.02.19;2.02.02.02.20;2.02.03;2.02.03.01;2.02.03.01.01;2.02.03.01.02;2.02.03.01.03;2.02.03.01.04;2.02.04;2.02.04.01;2.02.04.01.01;2.02.04.01.02;2.02.04.01.03;2.02.04.01.04;2.02.04.01.05;2.02.04.01.06;2.02.04.01.07;2.02.04.01.08;2.02.04.01.09;2.02.04.02;2.02.04.02.01;2.02.04.02.02;2.02.04.02.03;2.02.04.02.04;2.02.04.02.05;2.02.04.02.06;2.02.04.02.07;2.02.04.02.08;2.02.04.02.09;2.02.04.02.10;2.02.04.02.11;2.02.04.02.19;2.02.04.02.20;2.02.05;2.02.05.01;2.02.05.01.01;2.02.05.02;2.02.05.02.01;2.02.05.02.02;2.02.05.02.03;2.02.05.02.08;2.02.05.02.20;2.02.06;2.02.06.01;2.02.06.01.01;2.02.06.02;2.02.06.02.01;2.02.06.02.02;2.02.06.03;2.02.06.03.01;2.03;2.03.01;2.03.01.01;2.03.01.02;2.03.01.03;2.03.01.04;2.03.02;2.03.02.01;2.03.02.02;2.03.02.03;2.03.02.04;2.03.02.05;2.03.02.06;2.03.02.07;2.03.02.08;2.03.02.09;2.03.02.10;2.03.02.11;2.03.02.12;2.03.02.13;2.03.03;2.03.03.01;2.03.03.02;2.03.04;2.03.04.01;2.03.04.02;2.03.04.03;2.03.04.04;2.03.04.05;2.03.04.06;2.03.04.07;2.03.04.08;2.03.04.09;2.03.04.10;2.03.04.11;2.03.04.12;2.03.04.13;2.03.04.14;2.03.04.15;2.03.04.16;2.03.04.17;2.03.04.18;2.03.04.19;2.03.04.20;2.03.05;2.03.06;2.03.06.01;2.03.06.02;2.03.06.03;2.03.06.04;2.03.06.05;2.03.06.06;2.03.06.07;2.03.07;2.03.07.01;2.03.07.02;2.03.08;2.03.08.01;2.03.08.02;2.03.08.03;2.03.08.04;2.03.08.05;2.03.08.06;2.03.08.07;2.03.09;2.04;2.04.01;2.04.02;2.04.03;2.05;2.05.01;2.05.02;2.05.03;2.06;2.06.01;2.06.02;2.06.03;2.06.04;2.06.05;2.06.06;2.06.07;2.06.08;2.06.09;2.07;2.07.01;2.07.02;2.08;2.08.01;2.08.01.01;2.08.01.02;2.08.01.03;2.08.01.04;2.08.01.05;2.08.01.06;2.08.02;2.08.02.01;2.08.02.02;2.08.02.03;2.08.02.04;2.08.02.05;2.08.02.06;2.08.02.07;2.08.02.08;2.08.02.09;2.08.03;2.08.04;2.08.04.01;2.08.04.02;2.08.04.03;2.08.04.04;2.08.04.05;2.08.04.06;2.08.04.07;2.08.04.08;2.08.04.09;2.08.04.10;2.08.04.11;2.08.05;2.08.06;2.08.06.01;2.08.06.02;2.08.06.03;2.08.07;2.08.08;2.08.08.01;2.08.08.02;2.08.08.03;2.08.08.04;2.08.08.05;2.08.09;ano;cvm;empresa_descr
valores;632.145;93.606;6.297;1.734;;;;;4.563;;;;;;;;;;33.322;28.851;;;;;;;4.471;;;;;;;5.624;4.746;;;;;;;;;;;;816;;;;62;;;;;;32.968;32.968;4.162;28.806;;;;;;;;;;;;;14.723;;;;;14.723;7.749;;;4.004;2.970;;;;;;;;;;;;;;;;;;;;;;672;;;;;;;;;;672;;;672;;;;;;;;;;;;;;;;;;;;;72.622;11.234;11.234;9.584;1.650;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22.390;;;;;22.390;;;22.390;;;;;;;;;;;;;;;;;3.250;3.250;;;;;35.748;35.748;20.324;10.862;;4.562;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;465.917;220.000;;;;;37.084;;28.757;;;;;8.327;;;;;;;;;;208.732;16.219;181.602;;;;;10.911;;;;;;;;;;;;;;;;;;;;;;;;;;101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010;4359;ELEKEIROZ
valores;397.796.383;70.523.299;1.720.804;1.720.804;1.720.804;;;;;;;;;;;;;;38.078.341;38.078.341;;;;;;;;;;;;;;12.063.403;12.063.403;388.022;11.675.381;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15.056.242;;;;;15.056.242;8.902.122;;;4.512.800;;;1.894;1.639.426;;;;;;;;;;;;;;;;;;;3.604.509;3.604.509;;3.604.509;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50.334.085;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50.334.085;;;;;50.334.085;;;0;2.814.239;55.131.148;-7.611.302;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;276.938.999;100.491.500;;;;;;;;;;;;;;;;;;;;;;85.372.219;1.663.645;83.708.574;;;;;;;;;;;;;;;;;;;;91.075.011;;;;;;;;;;;;;;;;;;;269;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010;4537;GRAZZIOTIN
valores;3.169.164;696.699;83.203;40.667;4.237;17.126;3.603;15.701;42.536;;42.536;;;;;;;;208.527;202.364;;;;;;;6.163;;;;;;;181.610;61.092;61.092;;;;;;;;;;;120.518;120.518;;;;;;;;;75.304;75.304;;;;;;;;;;;;;;;148.055;;;;;148.055;;;;71.837;76.218;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;522.987;318.727;318.727;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19.417;;;;;19.417;;;3.503;;15.914;;;;;;;;;;;;;;;95.848;95.848;;;;;81.850;81.850;;;;;81.850;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.145;;;7.145;7.145;;;;1.949.478;1.500.000;;;;;;;;;;;;;;;;;;;;;;272.765;;;;272.697;;;;68;;;;;;;;;;;;;0;176.713;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010;4669;GUARARAPES
valores;4.783.762;2.292.079;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16.552;16.552;;16.552;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.275.527;;;;;2.275.527;;;;860.088;381.457;13.690;132.103;243.861;33.598;89.174;508.254;13.302;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.555.712;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.555.712;;;;;1.555.712;;;244.917;331.941;18.020;493.350;272.532;68.259;19.298;42.608;64.787;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;935.971;232.784;;;;;6.940;;;;;;;;;;;;;;;;;438.831;37.643;245.737;;155.451;;;;;;;;;;;;;;;;;;19.215;;;;;;;;;;;;;;;;;;;238.201;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010;4707;ALFA CONSORC
valores;12.415;18.996;603;;;;;;603;;;;;;;;;;88;88;;;;;;;;;;;;;;1.782;1.637;427;1.110;100;;;;;;;;;;;;;145;33;112;;;;3.729;3.729;3.729;;;;;;0;;;;;;;;12.576;12.404;;12.404;;172;;;;18;154;;;;;;;;;;;;;;;;;;;;;;218;;;;;;;;;;218;218;;;;;;;;;;;;;;;;;;;;;;;10.318;1.038;1.038;1.038;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.260;;;;;7.260;;;6.403;857;0;;;;;;;;;;;;;;;11;11;;;;;2.009;1.666;;;;;1.666;;;;;343;343;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-16.899;8.969;;;;;15.374;;;;;;15.374;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-41.242;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010;4723;CONST A LIND
valores;34.477.491;8.462.150;360.368;;;;;;;;;;;;;;;;5.201.162;;;;;;;;;;;;;;;390.062;;;;;;;;;;;;;;;;;;;;;;;1.724.185;1.206.444;;;;;;;517.741;;;;;;;;753.771;;;;;753.771;419.981;;;50.124;50.344;233.322;;;;;;;;;;;;;;;;;;;;;32.602;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15.607.055;11.004.301;0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;2.039.951;31.386;;;;2.008.565;;;14.442;34.433;123.517;252.604;1.583.569;0;;;;;;;;;;;;2.200.538;2.200.538;;;;;362.265;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.408.286;8.043.222;;;;;786.727;;;;;-59.271;;845.998;;;;;;;;;;1.338.908;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;221.350;;;;;;;;18.079;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010;4820;BRASKEM
valores;21.293;1.410;418;333;;;;;85;;;;;;;;;;190;190;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;325;325;;;;;;;;;;;;;;;477;6;;;6;471;471;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.126;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.126;11.126;;222;10.904;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.757;1.424;;;;;;;;;;;;;;;;;;;;;;7.333;2;;5.336;1.995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010;4863;COR RIBEIRO
valores;502.013;51.549;14.361;14.361;;;;;;;;;;;;;;;5.468;;;;;;;;;;;;;;;3.551;;;;;;;;;;;;;;;;;;;;;;;17.598;17.598;17.598;;;;;;;;;;;;;;10.571;;;;;10.571;5.267;;;5.304;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;63.859;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.956;;;;;3.956;;;;;;;;;;;;;;;;;;;;59.903;59.903;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;386.605;150.000;;;;;;;;;;;;;;;;;;;;;;101.571;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;134.849;;;;;;;;185;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010;5207;DOHLER
valores;879.892;306.985;75.512;64.156;;;;;11.356;;;;;;;;;;44.470;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;168.715;163.972;;;;;;;4.743;;;;;;;;18.288;;;;;18.288;;;;18.288;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;480.931;31.728;10.404;;;;;;21.324;;;;;;;;;;;;;;;;;;;;;;;;;383.146;;;;;383.146;;;714;380.703;1.729;;;;;;;;;;;;;;;63.054;63.054;;;;;3.003;3.003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;91.976;29.692;;;;;;;;;;;;;;;;;;;81.975;;;27.271;;;;;;3.201;;;;24.070;;;;;;;;;;;-45.774;-1.523;;;;;;;;;;;;;;;;;;;335;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010;5312;MUNDIAL
valores;7.511.164;1.938.803;141.797;141.797;;;;;;;;;;;;;;;242.300;;;;;;;;;;;;;;;72.204;72.204;41.718;30.486;;;;;;;;;;;;;;;;;;;;1.018.995;1.018.995;;;;;;;;;;;;;;;463.507;;;;;463.507;63.440;;;271.949;23.583;104.535;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.028.525;1.399.948;1.399.948;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;86.875;;;;;86.875;;;58.765;28.110;;;;;;;;;;;;;;;;415.318;415.318;;;;;126.384;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.543.836;1.812.294;;;;;44.931;44.931;;;;;;;;;;;;;3.884;;;900.676;53.409;746.059;;;;;;101.208;;0;;;;;;;;;;;;758.715;758.715;;;;;;;-65.893;;;;;;;;;;;89.229;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010;5410;WEG
valores;661.078;170.278;34.842;1.590;;;;;33.252;;;;;;;;;;41.097;32.799;;;;;;;8.298;;;;;;;29.937;21.228;13.898;7.330;;;;;;;;;;8.709;8.709;;;;;;;;;20.443;20.443;20.443;;;;;;;;;;;;;;40.781;;;;;40.781;27.245;;;13.536;;;;;;;;;;;;;;;;;;;;;;;3.178;3.178;;343;;;2.835;;;;;;;;;;;;;;;;;;;;;;;;;;;;78.311;3.491;3.491;3.491;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.522;;;;;9.522;;;7.017;2.505;;;;;;;;;;;;;;;;280;280;;;;;64.536;64.536;;22.354;;15.612;26.570;;;;;;;;;;;;;;;;;;;;;;;;;;;;482;;;482;;;;;412.489;334.251;;;;;18.536;23;;;;;;18.513;;;;;;;;;;59.689;15.004;11.364;;;33.495;;;;-174;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010;5762;ETERNIT
valores;1.611.445;315.194;20.629;20.629;;;;;;;;;;;;;;;112.680;112.680;;;;;;;;;;;;;;22.867;22.867;;9.600;13.267;;;;;;;;;;;;;;;;;;;100.718;100.718;100.718;;;;;;;;;;;;;;58.300;;;;;58.300;21.295;;;4.346;32.659;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;359.378;60.435;60.435;;60.435;;;;;;;;;;;;;;;;;;;;;;;;;;;;;197.993;;;;;197.993;;;122.411;75.582;0;;;;;;;;;;;;;;;;;;;;;100.950;100.950;;100.950;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;936.873;488.183;;;;;-820;-820;;;;;;;;;;;;;239.059;238.627;432;;;;;;;;;;;;;;;;;;;;;;104.589;105.968;;;;;;;;;;;-106;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010;5770;EUCATEX
valores;999.861;277.488;36.449;6.099;;;;;30.350;;;;;;;;;;20.148;18.484;;;;;;;1.664;;;;;;;24.730;12.841;2.431;10.410;;;;;;;;;;11.858;;;;31;;;;;;118.763;86.483;73.741;12.742;;;;;32.280;;;;;;;;74.686;;;;;74.686;18.716;;;0;4.453;5.990;45.527;;;;;;;;;;;;;;;;;;;;2.712;1.736;;1.736;;;;;;;976;976;;;;;;;;;;;;;;;;;;;;;;;261.794;206.660;133.683;90.540;43.143;;;;72.977;;;;;;;;;;;;;;;;;;;;;;;;;43.352;219;;;219;43.133;;;36.127;3.356;3.650;;;;;;;;;;;;;;;11.565;11.565;;;;;217;217;;217;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;460.579;201.000;;;;;0;;;;;;;0;0;;;;;;;;;234.290;24.604;;;;;1.766;;;;207.920;;;;;;;;;;;;49.105;;;;;;;;-23.869;;;;;;;;;;;53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010;6173;FORJA TAURUS
valores;696.233;188.512;31.712;4.807;;;;;26.905;20.957;5.948;;;;;;;;24.519;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;116.949;116.949;;;;;;;;;;;;;;;15.332;333;;;333;14.999;6.854;;;7.154;991;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;182.664;145.522;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.233;1.233;;1.233;;0;;;0;0;;;;;;;;;;;;;;;;28.343;28.343;;;;;7.566;6.999;5.130;804;;1.065;0;;;;;567;;;;567;;;;;;;;;;;;;;;;;;;;;;;;;;;325.057;170.000;;;;;0;;;;;;;;;;;;;;;;;101.513;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53.221;;;;;;;;323;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010;6211;FRAS-LE
valores;2.404.675;426.048;90.687;10.834;;;;;79.853;;;;;;;;;;121.291;111.359;;;;;;;9.932;;;;;;;2.963;2.809;;;;;;;;;;;;53;;;;101;;;;;;75.718;75.540;11.189;64.351;;;;;0;;;;178;;;;135.389;;;;;135.389;;42.933;;11.193;56.015;25.248;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.007.868;762.599;762.599;693.855;68.744;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;16.845;;;;;16.845;;;14.372;2.473;;;;;;;;;;;;;;;;76.492;76.492;;;;;151.932;151.932;9.672;7.001;;135.259;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;970.759;398.395;;;;;;;;;;;;;;;;;;;;;;423.874;27.284;374.584;;;;;;22.006;;;;;;;;;;;;;;148.490;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010;6343;TUPY
valores;9.891.828;5.317.027;290.245;71.578;;;;;218.667;;;;;;;;;;2.381.450;2.381.450;;;;;;;;;;;;;;272.427;92.581;18.415;68.522;5.644;;;;;;;;;175.372;175.372;;;4.474;4.474;;;;;1.630.638;1.630.638;1.630.713;-75;;;;;;;;;;;;;299.239;297.606;297.606;;;1.633;1.633;;;;;;;;;;;;;;;;;;;;;;;;;;443.028;0;0;;;;;;;;443.028;;0;;436.343;5.715;970;;;;;;;;;;;;;;;;;;2.005.920;1.597.566;1.597.566;1.336.908;260.658;;;;;;;;;;;;;;;;;;;;;;;;;;;;;286.362;-18;-18;;;286.380;;;233.810;51.767;803;;;;;;;;;;;;;;;12.477;12.477;;;;;109.515;109.515;47.386;8.573;;53.556;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.568.881;2.895.453;2.895.453;;;;40.589;;278.539;;27.246;0;;8.332;-273.528;;;;;;;;;36.768;828;;;;;;;;;35.940;;;;;;;;;;;-428.201;0;;;;;;;;;;;;;;;;;;;24.272;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010;6505;VIAVAREJO
valores;556.394;165.330;;;;;;;;;;;;;;;;;85.931;85.931;;32.390;873;43.045;9.623;;;;;;;;;66.883;34.622;;34.622;;;;;;;;;;;;;;32.261;32.261;;;;;12.516;12.516;12.516;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;429.574;6.388;6.388;6.388;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21.742;21.742;;;21.742;;;;;;;;;;;;;;;;;;;;;141.910;141.910;141.910;;;;259.534;259.534;;;;8.619;10.304;224.430;16.181;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-38.510;31.984;;;;;;;;;;;;;;;;;;;199.732;44.253;155.479;;;;;;;;;;;;;;;;;;;;;;-316.807;43.482;43.482;;;;;;;;;;;;;;;;;;3.099;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010;6700;HOTEIS OTHON
valores;135.182;36.405;13.012;;;;;;13.012;;;;;;;;;;0;0;;;;;;;;;;;;;;18.781;18.781;18.781;;;;;;;;;;;;;;;;;;;;;4.201;4.201;4.201;;;;;;;;;;;;;;411;411;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;550.473;395.029;395.029;395.029;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;84.567;84.567;84.567;;;;;;;;;;;;;;;;;;;;;;;;;;;;;70.877;70.877;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-451.696;41.000;;;;;3.746;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;-496.442;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010;6815;IGB SA
valores;87.417;12.933;;;;;;;;;;;;;;;;;41;41;0;41;;;;;;;;;;;;5.861;5.861;225;5.636;;;;;;;;;;;;;;;;;;;;6.127;6.127;6.127;;;;;;;;;;;;;;622;;;;;622;506;;;116;;;;;;;;;;;;;;;;;;;;;;;282;282;;;282;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.215;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.215;;;;;7.215;;;7.215;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;67.269;14.187;;;;;33;;;;;;;;;;;;;;;;;40.673;3.085;22.555;;3.033;;;;;0;12.000;;;;;;;;;;;0;12.116;12.116;;;;;;;;;;;;;;;;;;260;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010;701;BAHEMA
valores;1.861.192;450.169;36.422;;;;;;36.422;;;;;;;;;;48.323;;;;;;;;;;;;;;;11.305;;;;;;;;;;;;;;;;;;;;;;;328.506;328.506;;;;;;;;;;;;;;;25.613;;;;;25.613;12.192;;;5.842;7.579;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;709.006;666.919;666.919;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.333;;;;;8.333;;;3.612;4.721;;;;;;;;;;;;;;;;7.325;7.325;;;;;26.429;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;702.017;489.973;;;;;2.052;;;;;;;;;;;;;;;;;225.656;40.834;;;;184.822;;;;;;;;;;;;;;;;;;;;;;;;;-17.639;;;;;;;;;;;1.975;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010;7510;INDS ROMI
valores;222.719;138.008;18.835;16.070;;;;;2.765;;;;;;;;;;10.797;10.576;7.290;3.286;;;;;221;;;;;;;32.140;1.403;;1.403;;;;;;;;;;28.916;;;;1.821;;;;;;63.650;46.312;45.029;1.283;;;;;17.338;;;;;;;;1.481;;;;;1.481;2;;;763;716;;;;;;;;;;;;;;;;;;;;;;11.105;11.105;11.105;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;190.569;1.461;1.461;;1.461;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;161.039;58.487;;58.487;;102.552;;;49.360;50;11.942;38.804;2.396;;;;;;;;;;;;;28.020;28.020;;;;;49;49;;49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-105.858;8.186;;;;;;;;;;;;;;;;;;;18.193;;;571;37;;;;534;;;;;;;;;;;;;;;;-175.674;42.866;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010;7544;TEX RENAUX
